host gpuhost015.jc.rl.ac.uk | CUDA ok | Sun  9 Aug 14:46:44 BST 2026
resume auto: fresh start
target=delta | pooled std 0.7407 | mean +0.0619 | E[target^2] train 0.5525 val 0.5604
  per shard: [+15min sd 0.5800 E[t^2] 0.3395, +30min sd 0.7073 E[t^2] 0.5038, +45min sd 0.7921 E[t^2] 0.6314, +60min sd 0.8546 E[t^2] 0.7352]
diagnostics: 64 fixed val crops (rows 0..53123)
device=cuda | R_phi 65.7M params | cond=full (20ch) -> 4ch | latent_scale=0.784
train rows 613892 | val rows 53124 | 9592 steps/epoch (batch 64)
data-path check: batch E[target^2] 0.3818 vs pack meta 0.5604 (ratio 0.681) | untrained MSE 0.3818 -> EV +0.0000 (must be ~0.000 on a fresh start)
  ep1 step 200/9592 | mse 0.4977 (win 0.4977) | EV 0.099 (win 0.099) | lr 1.99e-05 | gn 1.23 | 304 img/s
  ep1 step 400/9592 | mse 0.4595 (win 0.4213) | EV 0.168 (win 0.237) | lr 3.99e-05 | gn 1.05 | 314 img/s
  ep1 step 600/9592 | mse 0.4327 (win 0.3791) | EV 0.217 (win 0.314) | lr 5.99e-05 | gn 0.97 | 318 img/s
  ep1 step 800/9592 | mse 0.4125 (win 0.3517) | EV 0.253 (win 0.363) | lr 7.99e-05 | gn 0.92 | 320 img/s
  ep1 step 1000/9592 | mse 0.3987 (win 0.3437) | EV 0.278 (win 0.378) | lr 9.99e-05 | gn 0.88 | 321 img/s
  ep1 step 1200/9592 | mse 0.3881 (win 0.3352) | EV 0.297 (win 0.393) | lr 1.00e-04 | gn 0.84 | 322 img/s
  ep1 step 1400/9592 | mse 0.3803 (win 0.3335) | EV 0.312 (win 0.396) | lr 1.00e-04 | gn 0.81 | 322 img/s
  ep1 step 1600/9592 | mse 0.3739 (win 0.3286) | EV 0.323 (win 0.405) | lr 1.00e-04 | gn 0.78 | 323 img/s
  ep1 step 1800/9592 | mse 0.3689 (win 0.3295) | EV 0.332 (win 0.404) | lr 1.00e-04 | gn 0.76 | 323 img/s
  ep1 step 2000/9592 | mse 0.3646 (win 0.3260) | EV 0.340 (win 0.410) | lr 1.00e-04 | gn 0.74 | 323 img/s
  ep1 step 2200/9592 | mse 0.3609 (win 0.3234) | EV 0.347 (win 0.415) | lr 9.99e-05 | gn 0.72 | 323 img/s
  ep1 step 2400/9592 | mse 0.3576 (win 0.3216) | EV 0.353 (win 0.418) | lr 9.99e-05 | gn 0.70 | 324 img/s
  ep1 step 2600/9592 | mse 0.3548 (win 0.3216) | EV 0.358 (win 0.418) | lr 9.99e-05 | gn 0.68 | 324 img/s
  ep1 step 2800/9592 | mse 0.3523 (win 0.3194) | EV 0.362 (win 0.422) | lr 9.99e-05 | gn 0.67 | 324 img/s
  ep1 step 3000/9592 | mse 0.3503 (win 0.3217) | EV 0.366 (win 0.418) | lr 9.98e-05 | gn 0.66 | 324 img/s
  ep1 step 3200/9592 | mse 0.3482 (win 0.3174) | EV 0.370 (win 0.426) | lr 9.98e-05 | gn 0.64 | 324 img/s
  ep1 step 3400/9592 | mse 0.3465 (win 0.3197) | EV 0.373 (win 0.421) | lr 9.98e-05 | gn 0.63 | 324 img/s
  ep1 step 3600/9592 | mse 0.3449 (win 0.3175) | EV 0.376 (win 0.425) | lr 9.97e-05 | gn 0.62 | 324 img/s
  ep1 step 3800/9592 | mse 0.3433 (win 0.3134) | EV 0.379 (win 0.433) | lr 9.97e-05 | gn 0.61 | 324 img/s
  ep1 step 4000/9592 | mse 0.3419 (win 0.3169) | EV 0.381 (win 0.426) | lr 9.96e-05 | gn 0.60 | 324 img/s
  ep1 step 4200/9592 | mse 0.3406 (win 0.3139) | EV 0.384 (win 0.432) | lr 9.96e-05 | gn 0.59 | 324 img/s
  ep1 step 4400/9592 | mse 0.3393 (win 0.3118) | EV 0.386 (win 0.436) | lr 9.95e-05 | gn 0.58 | 324 img/s
  ep1 step 4600/9592 | mse 0.3381 (win 0.3107) | EV 0.388 (win 0.438) | lr 9.94e-05 | gn 0.58 | 325 img/s
  ep1 step 4800/9592 | mse 0.3369 (win 0.3109) | EV 0.390 (win 0.437) | lr 9.94e-05 | gn 0.57 | 325 img/s
  ep1 step 5000/9592 | mse 0.3360 (win 0.3131) | EV 0.392 (win 0.433) | lr 9.93e-05 | gn 0.56 | 325 img/s
  ABORT-A (PASS) at step 5000: windowed train EV 0.4334 against threshold 0.010. Continue.
  ep1 step 5200/9592 | mse 0.3350 (win 0.3111) | EV 0.394 (win 0.437) | lr 9.92e-05 | gn 0.56 | 325 img/s
  ep1 step 5400/9592 | mse 0.3341 (win 0.3110) | EV 0.395 (win 0.437) | lr 9.92e-05 | gn 0.55 | 325 img/s
  ep1 step 5600/9592 | mse 0.3333 (win 0.3119) | EV 0.397 (win 0.435) | lr 9.91e-05 | gn 0.54 | 325 img/s
